-46.89, 43.97
-46.64, 46.48
-46.64, 45.14
-46.64, 44.55
-46.04, 47.15
-46.04, 45.81
-45.62, 48.15
-45.36, 46.81
-45.36, 46.31
-45.02, 48.82
-45.02, 47.49
-44.51, 49.83
-44.34, 48.16
-44.34, 47.65
-44.00, 50.83
-44.00, 48.88
-43.49, 51.84
-43.49, 49.89
-42.98, 52.85
-42.98, 50.89
-42.47, 53.85
-42.47, 51.84
-41.96, 54.86
-41.96, 52.85
-41.45, 55.86
-41.45, 53.86
-40.94, 56.87
-40.94, 54.86
-40.43, 57.87
-40.43, 55.87
-39.92, 58.88
-39.92, 56.87
-39.41, 59.89
-39.41, 57.88
-38.99, 60.89
-38.99, 58.88
-38.73, 58.38
-38.48, 61.39
-38.48, 59.47
-38.39, 62.23
-38.39, 60.22
-37.88, 63.24
-37.71, 60.90
-37.46, 64.24
-37.46, 62.23
-37.46, 61.65
-36.95, 64.75
-36.95, 62.82
-36.86, 65.58
-36.86, 63.58
-36.35, 66.59
-36.18, 64.92
-36.18, 64.25
-35.84, 67.59
-35.84, 65.59
-35.42, 68.60
-35.42, 66.59
-35.16, 66.09
-34.90, 69.27
-34.90, 67.93
-34.90, 67.26
-34.39, 69.94
-34.39, 68.60
-33.88, 70.61
-33.88, 69.27
-33.37, 71.28
-33.37, 69.95
-32.86, 71.95
-32.86, 70.62
-32.35, 72.63
-32.35, 71.29
-31.84, 73.30
-31.84, 71.96
-31.33, 73.97
-31.33, 72.63
-30.82, 74.64
-30.82, 73.30
-30.23, 75.31
-30.23, 74.03
-29.80, 76.32
-29.55, 74.48
-29.29, 76.99
-29.29, 75.65
-29.29, 75.06
-28.70, 77.66
-28.70, 76.32
-28.27, 78.66
-28.02, 76.82
-27.76, 79.33
-27.76, 78.00
-27.76, 77.41
-27.17, 80.01
-27.17, 78.67
-26.74, 81.01
-26.49, 79.17
-26.23, 81.68
-26.23, 80.34
-26.23, 79.76
-25.72, 82.35
-25.72, 81.01
-25.47, 80.51
-25.21, 83.02
-25.21, 81.69
-24.70, 83.70
-24.70, 82.36
-24.11, 84.37
-24.11, 83.08
-23.43, 83.53
-23.17, 85.37
-23.17, 84.70
-23.17, 84.12
-22.66, 86.04
-22.40, 84.71
-22.06, 86.72
-22.06, 85.43
-21.38, 85.88
-21.13, 87.72
-21.13, 87.05
-21.13, 86.39
-20.53, 88.39
-20.36, 86.89
-20.11, 87.48
-19.85, 88.06
-19.60, 88.57
-19.51, 89.40
-18.83, 89.07
-18.83, 88.57
-18.58, 89.57
-18.49, 90.41
-17.81, 90.08
-17.81, 89.58
-17.56, 90.58
